SiteName,MonitorDate,Concentration,ItemUnit
苗栗,2018-12-31,4,μg/m3
新竹,2018-12-31,5,μg/m3
竹東,2018-12-31,,μg/m3
平鎮,2018-12-31,4,μg/m3
桃園,2018-12-31,3,μg/m3
萬華,2018-12-31,3,μg/m3
士林,2018-12-31,,μg/m3
板橋,2018-12-31,3,μg/m3
汐止,2018-12-31,,μg/m3
基隆,2018-12-31,2,μg/m3
馬公,2018-12-28,11,μg/m3
金門,2018-12-28,16,μg/m3
馬祖,2018-12-28,20,μg/m3
宜蘭,2018-12-28,4,μg/m3
陽明,2018-12-28,2,μg/m3
花蓮,2018-12-28,4,μg/m3
臺東,2018-12-28,3,μg/m3
恆春,2018-12-28,4,μg/m3
屏東,2018-12-28,,μg/m3
前金,2018-12-28,23,μg/m3
林園,2018-12-28,25,μg/m3
美濃,2018-12-28,18,μg/m3
臺南,2018-12-28,15,μg/m3
新營,2018-12-28,13,μg/m3
嘉義,2018-12-28,13,μg/m3
朴子,2018-12-28,14,μg/m3
斗六,2018-12-28,9,μg/m3
南投,2018-12-28,7,μg/m3
彰化,2018-12-28,6,μg/m3
忠明,2018-12-28,5,μg/m3
豐原,2018-12-28,5,μg/m3
三義,2018-12-28,5,μg/m3
苗栗,2018-12-28,6,μg/m3
新竹,2018-12-28,9,μg/m3
竹東,2018-12-28,5,μg/m3
平鎮,2018-12-28,9,μg/m3
桃園,2018-12-28,8,μg/m3
萬華,2018-12-28,8,μg/m3
士林,2018-12-28,5,μg/m3
板橋,2018-12-28,8,μg/m3
汐止,2018-12-28,8,μg/m3
基隆,2018-12-28,8,μg/m3
馬公,2018-12-25,15,μg/m3
金門,2018-12-25,25,μg/m3
馬祖,2018-12-25,17,μg/m3
宜蘭,2018-12-25,5,μg/m3
陽明,2018-12-25,,μg/m3
花蓮,2018-12-25,6,μg/m3
臺東,2018-12-25,3,μg/m3
恆春,2018-12-25,,μg/m3
屏東,2018-12-25,36,μg/m3
前金,2018-12-25,38,μg/m3
林園,2018-12-25,48,μg/m3
美濃,2018-12-25,24,μg/m3
臺南,2018-12-25,31,μg/m3
新營,2018-12-25,27,μg/m3
嘉義,2018-12-25,28,μg/m3
朴子,2018-12-25,22,μg/m3
斗六,2018-12-25,25,μg/m3
南投,2018-12-25,19,μg/m3
彰化,2018-12-25,13,μg/m3
忠明,2018-12-25,15,μg/m3
豐原,2018-12-25,14,μg/m3
三義,2018-12-25,6,μg/m3
苗栗,2018-12-25,11,μg/m3
新竹,2018-12-25,10,μg/m3
竹東,2018-12-25,11,μg/m3
平鎮,2018-12-25,9,μg/m3
桃園,2018-12-25,8,μg/m3
萬華,2018-12-25,8,μg/m3
士林,2018-12-25,6,μg/m3
板橋,2018-12-25,8,μg/m3
汐止,2018-12-25,7,μg/m3
基隆,2018-12-25,8,μg/m3
馬公,2018-12-22,20,μg/m3
金門,2018-12-22,49,μg/m3
馬祖,2018-12-22,26,μg/m3
宜蘭,2018-12-22,13,μg/m3
陽明,2018-12-22,14,μg/m3
花蓮,2018-12-22,10,μg/m3
臺東,2018-12-22,8,μg/m3
恆春,2018-12-22,6,μg/m3
屏東,2018-12-22,47,μg/m3
前金,2018-12-22,63,μg/m3
林園,2018-12-22,60,μg/m3
美濃,2018-12-22,34,μg/m3
臺南,2018-12-22,59,μg/m3
新營,2018-12-22,57,μg/m3
嘉義,2018-12-22,66,μg/m3
朴子,2018-12-22,42,μg/m3
斗六,2018-12-22,62,μg/m3
南投,2018-12-22,49,μg/m3
彰化,2018-12-22,45,μg/m3
忠明,2018-12-22,43,μg/m3
豐原,2018-12-22,45,μg/m3
三義,2018-12-22,40,μg/m3
苗栗,2018-12-22,40,μg/m3
新竹,2018-12-22,41,μg/m3
竹東,2018-12-22,33,μg/m3
平鎮,2018-12-22,47,μg/m3
桃園,2018-12-22,46,μg/m3
萬華,2018-12-22,27,μg/m3
士林,2018-12-22,27,μg/m3
板橋,2018-12-22,34,μg/m3
汐止,2018-12-22,21,μg/m3
基隆,2018-12-22,20,μg/m3
馬公,2018-12-19,19,μg/m3
金門,2018-12-19,31,μg/m3
馬祖,2018-12-19,22,μg/m3
宜蘭,2018-12-19,13,μg/m3
陽明,2018-12-19,11,μg/m3
花蓮,2018-12-19,12,μg/m3
臺東,2018-12-19,12,μg/m3
恆春,2018-12-19,12,μg/m3
屏東,2018-12-19,35,μg/m3
前金,2018-12-19,33,μg/m3
林園,2018-12-19,37,μg/m3
美濃,2018-12-19,26,μg/m3
臺南,2018-12-19,34,μg/m3
新營,2018-12-19,36,μg/m3
嘉義,2018-12-19,33,μg/m3
朴子,2018-12-19,39,μg/m3
斗六,2018-12-19,43,μg/m3
南投,2018-12-19,35,μg/m3
彰化,2018-12-19,49,μg/m3
忠明,2018-12-19,54,μg/m3
豐原,2018-12-19,32,μg/m3
三義,2018-12-19,35,μg/m3
苗栗,2018-12-19,41,μg/m3
新竹,2018-12-19,41,μg/m3
竹東,2018-12-19,27,μg/m3
平鎮,2018-12-19,43,μg/m3
桃園,2018-12-19,37,μg/m3
萬華,2018-12-19,14,μg/m3
士林,2018-12-19,12,μg/m3
板橋,2018-12-19,19,μg/m3
汐止,2018-12-19,15,μg/m3
基隆,2018-12-19,12,μg/m3
馬公,2018-12-16,13,μg/m3
金門,2018-12-16,22,μg/m3
馬祖,2018-12-16,11,μg/m3
宜蘭,2018-12-16,7,μg/m3
陽明,2018-12-16,3,μg/m3
花蓮,2018-12-16,,μg/m3
臺東,2018-12-16,4,μg/m3
恆春,2018-12-16,3,μg/m3
屏東,2018-12-16,51,μg/m3
前金,2018-12-16,44,μg/m3
林園,2018-12-16,54,μg/m3
美濃,2018-12-16,33,μg/m3
臺南,2018-12-16,26,μg/m3
新營,2018-12-16,25,μg/m3
嘉義,2018-12-16,32,μg/m3
朴子,2018-12-16,20,μg/m3
斗六,2018-12-16,35,μg/m3
南投,2018-12-16,27,μg/m3
彰化,2018-12-16,14,μg/m3
忠明,2018-12-16,16,μg/m3
豐原,2018-12-16,22,μg/m3
三義,2018-12-16,17,μg/m3
苗栗,2018-12-16,17,μg/m3
新竹,2018-12-16,14,μg/m3
竹東,2018-12-16,16,μg/m3
平鎮,2018-12-16,14,μg/m3
桃園,2018-12-16,12,μg/m3
萬華,2018-12-16,11,μg/m3
士林,2018-12-16,9,μg/m3
板橋,2018-12-16,13,μg/m3
汐止,2018-12-16,10,μg/m3
基隆,2018-12-16,10,μg/m3
馬公,2018-12-13,13,μg/m3
金門,2018-12-13,18,μg/m3
馬祖,2018-12-13,22,μg/m3
宜蘭,2018-12-13,7,μg/m3
陽明,2018-12-13,,μg/m3
花蓮,2018-12-13,5,μg/m3
臺東,2018-12-13,5,μg/m3
