MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
A01216,市府路及松高路口無線網路電磁波量測,2017-09-25,臺北市,信義區,市府路及松高路口,無線區域網路(Wi-Fi),0.00102,mW/cm<sup>2</sup>,True
H01114,桃園市中壢區環北路10號前落地型變壓器量測,2017-09-19,桃園市,中壢區,環北路10號,落地型變壓器,18.9,mG,True
H01113,桃園市中壢區環北路6號前落地型變壓器量測,2017-08-17,桃園市,中壢區,環北路6號,落地型變壓器,45.1,mG,True
H01107,南崁變電所量測,2017-09-07,桃園市,蘆竹區,南山路3段13號,變電所,24.6,mG,True
V00892,基地台電磁波量測,2017-08-03,臺東縣,卑南鄉,初鹿段351地號,手機基地臺,0.00157,mW/cm<sup>2</sup>,True
Q10283,民雄鄉三興二街96號旁,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興二街96號旁,落地型變壓器,9.778,mG,True
H01117,桃園市中壢區光明里、新明里、永光里聯合集會所前落地型變壓器量測,2017-08-17,桃園市,中壢區,光明里、新明里、永光里聯合集會所前,落地型變壓器,4.4,mG,True
H01119,桃園市中壢區環西路二段185之2號對面落地型變壓器量測,2017-08-17,桃園市,中壢區,環西路二段185之2號對面,落地型變壓器,50.2,mG,True
H01118,桃園市中壢區中央西路二段141巷79號前落地型變壓器量測,2017-08-17,桃園市,中壢區,中央西路二段141巷79號,落地型變壓器,14.2,mG,True
J00902,全家便利商店_竹北大漾店_無線區域網路(Wi-Fi)量測,2017-09-07,新竹縣,竹北市,博愛南路9號,無線區域網路(Wi-Fi),1.930932E-06,mW/cm<sup>2</sup>,True
J00901,全家便利商店_竹北成功店_無線區域網路(Wi-Fi)量測,2017-09-07,新竹縣,竹北市,成功八路160號,無線區域網路(Wi-Fi),2.161551E-06,mW/cm<sup>2</sup>,True
Q10287,民雄鄉三興路173號前,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路173號前,落地型變壓器,2.436,mG,True
H01109,長安變電所量測,2017-09-07,桃園市,蘆竹區,南工路一段20號,變電所,12.2,mG,True
H01108,蘆竹變電所量測,2017-09-07,桃園市,蘆竹區,海山路1段350號,變電所,15,mG,True
J00904,全家便利商店_竹北竹風店_無線區域網路(Wi-Fi)量測,2017-09-07,新竹縣,竹北市,環北路一段113號,無線區域網路(Wi-Fi),1.081873E-06,mW/cm<sup>2</sup>,True
J00903,全家便利商店_竹北大漾店_無線區域網路(Wi-Fi)量測,2017-09-07,新竹縣,竹北市,博愛街523號,無線區域網路(Wi-Fi),1.930932E-06,mW/cm<sup>2</sup>,True
D00994,新化區基督長老教會門口處落地型變壓器量測(Q1097、EB58),2017-08-23,臺南市,新化區,新化區中山路207號,落地型變壓器,15.94,mG,True
D00993,新化區大目降廣場西側落地型變壓器量測(Q1096、DD18),2017-08-23,臺南市,新營區,臺南市新化區中正路和平街,落地型變壓器,14.14,mG,True
D00992,新化區稽徵所門口前落地型變壓器量測(Q0998、HD68),2017-08-23,臺南市,新化區,臺南市新化區中正路588號,落地型變壓器,5.992,mG,True
D00991,新化區地政事務所西北側落地型變壓器量測(N0901、AD96),2017-08-23,臺南市,新化區,臺南市新化區中正路1160號,落地型變壓器,9.475,mG,True
D00990,官田區職訓局大門南側落地型變壓器量測(N1236、C08320),2017-08-11,臺南市,官田區,臺南市官田區官田工業區工業路40號,落地型變壓器,18.43,mG,True
Q10290,民雄鄉三興路176號前,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路176號前,落地型變壓器,11.39,mG,True
H01085,桃園市中壢區環西路二段257號前落地型變壓器量測,2017-08-17,桃園市,中壢區,環西路二段257號前,落地型變壓器,73.5,mG,True
X10202,馬公市石滬廣場旁落地型變電器,2017-08-10,澎湖縣,馬公市,石滬廣場旁,落地型變壓器,260,mG,True
H01086,桃園市中壢區環西路二段289號前落地型變壓器量測,2017-08-17,桃園市,桃園區,環西路二段289號,落地型變壓器,232,mG,True
H01084,桃園市中壢區環西路二段185之2號前落地型變壓器量測,2017-08-17,桃園市,中壢區,環西路二段185之2號,落地型變壓器,10.4,mG,True
U10488,玉里圓環旁落地型變壓器量測-3,2017-08-16,花蓮縣,玉里鎮,中山路一段218號前,落地型變壓器,47.6,mG,True
U10487,玉里圓環旁落地型變壓器量測-2,2017-08-16,花蓮縣,玉里鎮,中山路一段203號前,落地型變壓器,19.6,mG,True
U10486,玉里圓環旁落地型變壓器量測-1,2017-08-16,花蓮縣,玉里鎮,中山路二段7之2號,落地型變壓器,5.8,mG,True
U10485,玉里中山路二段19號前落地型變壓器量測,2017-08-16,花蓮縣,玉里鎮,中山路二段19號,落地型變壓器,43.2,mG,True
Q10281,民雄鄉三興路145號前,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路145號前,落地型變壓器,6.948,mG,True
E01141,LE106-08-003,2017-08-15,高雄市,苓雅區,高雄市苓雅區福德三路367-1號附近,落地型變壓器,130.01,mG,True
U10483,北埔新訓中心對面落地型變壓器量測,2017-08-10,花蓮縣,新城鄉,嘉里村嘉里路138號旁,落地型變壓器,38.8,mG,True
U10482,嘉里路202號旁落地型變壓器量測,2017-08-10,花蓮縣,新城鄉,嘉里村嘉里路202號旁,落地型變壓器,2,mG,True
U10481,北埔一貫道道場前落地型變壓器量測,2017-08-10,花蓮縣,新城鄉,北埔村北埔路140之1號前,落地型變壓器,3.5,mG,True
U10480,新城國中前落地型變壓器量測,2017-08-10,花蓮縣,新城鄉,北埔村北埔路143號前,落地型變壓器,32.5,mG,True
X10201,馬公市中正路大創百貨前落地型變電器,2017-07-20,澎湖縣,馬公市,馬公市中正路大創百貨前,落地型變壓器,125.6,mG,True
X10200,馬公市城隍廟停車場旁落地型變電器,2017-07-20,澎湖縣,馬公市,馬公市城隍廟停車場旁,落地型變壓器,71.4,mG,True
X10199,馬公市建國路42-1號前落地型變電器,2017-07-20,澎湖縣,馬公市,馬公市建國路42-1號前,落地型變壓器,332,mG,True
E01140,LE106-08-002,2017-08-07,高雄市,前金區,高雄市前金區七賢二路18號附近,落地型變壓器,28.111,mG,True
E01139,LE106-08-001,2017-08-01,高雄市,苓雅區,高雄市苓雅區憲政路212號附近,落地型變壓器,129.03,mG,True
X10198,馬公市新生路富國海鮮後落地型變電器,2017-07-19,澎湖縣,馬公市,馬公市新生路富國海鮮後,落地型變壓器,45,mG,True
X10197,馬公市民權路51號前落地型變電器,2017-07-19,澎湖縣,馬公市,馬公市民權路51號前,落地型變壓器,49.9,mG,True
Q10280,民雄鄉三興路91號旁,2017-08-04,嘉義縣,民雄鄉,民雄鄉三興路91號旁,落地型變壓器,8.535,mG,True
Q10279,三興路106號旁,2017-08-04,嘉義縣,民雄鄉,三興路106號旁,落地型變壓器,8.164,mG,True
Q10277,太保市保鐵二路停車場左側對面,2017-07-27,嘉義縣,太保市,太保市保鐵二路停車場左側對面,落地型變壓器,1.712,mG,True
Q10276,太保市保鐵二路停車場左側,2017-07-27,嘉義縣,太保市,太保市保鐵二路停車場左側,落地型變壓器,1.802,mG,True
Q10275,太保市保鐵二路停車場右側對面,2017-07-27,嘉義縣,太保市,太保市保鐵二路停車場右側對面,落地型變壓器,1.48,mG,True
H01083,桃園市中壢區青埔消防分隊前落地型變壓器量測,2017-07-20,桃園市,中壢區,青埔消防分隊,落地型變壓器,14.3,mG,True
H01082,桃園市中壢區青埔派出所旁落地型變壓器量測,2017-07-20,桃園市,中壢區,青埔派出所,落地型變壓器,6.2,mG,True
H01081,桃園市中壢區永泰路與公園路二段交叉口落地型變壓器量測,2017-07-20,桃園市,中壢區,永泰路與公園路二段交叉口,落地型變壓器,54.8,mG,True
H01080,桃園市中壢區民權路四段640號前,2017-07-20,桃園市,中壢區,民權路四段640號,落地型變壓器,14.5,mG,True
H01079,桃園市中壢區民權路四段557巷1-18號前落地型變壓器量測,2017-07-20,桃園市,中壢區,民權路四段557巷1-18號,落地型變壓器,6.3,mG,True
H01078,桃園市中壢區民權路四段730-740號前落地型變壓器量測,2017-07-20,桃園市,中壢區,民權路四段730-740號,落地型變壓器,23.6,mG,True
H01077,桃園市大園區環區東路450-458號前落地型變壓器量測,2017-07-20,桃園市,大園區,環區東路450-458號,落地型變壓器,3.3,mG,True
